GID_2,NAME_2,NAME_1,region,GAUL_ADM2_NAME,GAUL_ADM1_NAME,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean,n_lethal,n_protest,n_routine,log_n_routine,log_n_protest
IDN.5.4_1,Bengkulu,Bengkulu,Sumatra,Kota Bengkulu,Bengkulu,0.5144159801934397,0.3101286953328535,-0.1683446393817568,0.199757843072954,-0.683647738456034,0,58,5,0.7782,1.7709
IDN.5.1_1,BengkuluSelatan,Bengkulu,Sumatra,Bengkulu Selatan,Bengkulu,0.7890453245853232,0.2059031744434965,-0.34951561598692,0.1052386721193498,-1.1385565034690917,0,0,0,0.0,0.0
IDN.5.3_1,BengkuluUtara,Bengkulu,Sumatra,Bengkulu Utara,Bengkulu,0.7915890725183908,0.2056018191123207,-0.3535394849465634,0.107892302135132,-1.1460983506023663,0,3,0,0.0,0.6021
IDN.5.5_1,Kaur,Bengkulu,Sumatra,Kaur,Bengkulu,0.8028015034024765,0.1561907821169573,-0.3517619373917977,0.1022158560732399,-1.1551460059530765,0,0,0,0.0,0.0
IDN.5.6_1,Kepahiang,Bengkulu,Sumatra,Kepahiang,Bengkulu,0.7300265172609662,0.1764518733604579,-0.294154838087336,0.0760613629522693,-1.0241664218064026,0,0,0,0.0,0.0
IDN.5.7_1,Lebong,Bengkulu,Sumatra,Lebong,Bengkulu,0.7006447198054786,0.2544752818418545,-0.3369095267527361,0.0950434878470743,-1.0371778435468682,0,1,0,0.0,0.301
IDN.5.8_1,Mukomuko,Bengkulu,Sumatra,Muko-muko,Bengkulu,0.8018866945644526,0.2000028851996479,-0.3854082657493072,0.0898312028663198,-1.1872535406182638,0,11,0,0.0,1.0792
IDN.5.9_1,RejangLebong,Bengkulu,Sumatra,Rejanglebong,Bengkulu,0.662283860284061,0.2637099249550261,-0.2803217181519556,0.0938357508519003,-0.9423874056185184,0,2,0,0.0,0.4771
IDN.5.10_1,Seluma,Bengkulu,Sumatra,Seluma,Bengkulu,0.7587294244888014,0.2148431195998748,-0.3319975527353296,0.0966322122512351,-1.090726412100141,0,15,1,0.301,1.2041
IDN.6.1_1,Boalemo,Gorontalo,Sulawesi,Boalemo,Gorontalo,0.6461615526870987,0.2279509753877781,-0.2764741783441905,0.1604538790384783,-0.9264842282002804,0,8,0,0.0,0.9542
