ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean
Nangroe Aceh Darussalam,Aceh Selatan,73626,0.6886401359884982,0.26976843423430835,-0.35984883106407023,0.11874641897577333,-1.0484986796706701
Nangroe Aceh Darussalam,Aceh Tamiang,73628,0.8427703454122558,0.1480247955610495,-0.3979565520133636,0.07838472766908004,-1.2406305164731906
Nangroe Aceh Darussalam,Aceh Tenggara,73630,0.5124750257590129,0.3268961141234447,-0.30466509624674304,0.1058912239135626,-0.8169198362358996
Nangroe Aceh Darussalam,Aceh Timur,73631,0.738845304803127,0.2632764306281718,-0.3632366437445424,0.10833918275477594,-1.1014340309930208
Nangroe Aceh Darussalam,Aceh Utara,73632,0.7001500152266503,0.23546280022077565,-0.34565314861780094,0.10145578238268299,-1.0455410154267157
Nangroe Aceh Darussalam,Gayolues,73674,0.7083345115811447,0.2751658738059324,-0.34655143468745914,0.11206524170725086,-1.0547408024739982
Nangroe Aceh Darussalam,Kota Langsa,73732,0.774307584140704,0.20805365343407167,-0.3591193199152373,0.10998634385229353,-1.1313607374020327
Nangroe Aceh Darussalam,Kota Lhokseumawe,73733,0.6965472731241246,0.21008113913932122,-0.3020663426473209,0.13189664283563246,-0.9987710604602877
Nangroe Aceh Darussalam,Naganraya,73809,0.7003983480692016,0.27764850567105187,-0.3428307300652913,0.11420867068220887,-1.0419137935516167
Dki Jakarta,Kota Jakarta Utara,73726,0.24257907557670016,0.14011234735201625,-0.01721557559202057,0.12208278831103904,-0.2597946511687201
Jawa Timur,Kota Batu,73709,0.6916257853996955,0.1378024628905002,-0.24490763767456755,0.10915413310476359,-0.9365334230742639
Jawa Timur,Malang,73780,0.6350106646618812,0.14848087919061853,-0.21141002256356783,0.11187663632984042,-0.8466386481407372
Kalimantan Barat,Bengkayang,73652,0.7712247053775265,0.14948448693891103,-0.33888286896460074,0.09437448040610527,-1.1101491028622172
Kalimantan Barat,Kota Singkawang,73750,0.6953046314548142,0.22986663676980768,-0.31088194370903266,0.13001636964371377,-1.0062237338038431
Kalimantan Tengah,Barito Selatan,73644,0.5599641623588881,0.22166661493246992,-0.27565196145119936,0.13152027689526152,-0.8356161238100827
Kalimantan Tengah,Barito Timur,73645,0.6963989914334116,0.1331845481294795,-0.2533766316731717,0.11319084453468134,-0.9497718211528197
Kalimantan Tengah,Barito Utara,73646,0.15045544120350726,0.135095263841134,-0.32473801235440863,0.09867924306063602,-0.4751900269734519
Kalimantan Tengah,Gunungmas,73676,0.2882561881926667,0.17089985912641942,-0.3114678290323609,0.07130238518784832,-0.599724017225028
Kalimantan Tengah,Kapuas,73689,0.6042026895010066,0.2362028934240409,-0.3012083034736202,0.11466100784612326,-0.9054109929746351
Kalimantan Tengah,Katingan,73691,0.6959530501261795,0.19611882561904592,-0.37687031275260297,0.11287404277033469,-1.0728117009335771
Kalimantan Tengah,Kotawaringin Barat,73762,0.6859909502172961,0.24007955006520038,-0.33151079710341147,0.13461478053868708,-1.0167466655372233
Kalimantan Tengah,Kotawaringin Timur,73763,0.6675552450774604,0.2104956297726521,-0.29416387836531566,0.12701627801277393,-0.9617421511428355
Kalimantan Tengah,Lamandau,73770,0.7473924547859658,0.17871129695461999,-0.3397621403131216,0.10684732026128752,-1.0871437397683401
Kalimantan Tengah,Murungraya,73805,0.22515929236213897,0.18637830211604461,-0.4640752890535777,0.10385959401059629,-0.6892348555688957
Kalimantan Tengah,Pulangpisau,73831,0.7359437818091512,0.13523897449808944,-0.3541009783485524,0.11678743949958567,-1.0900447601576833
Kalimantan Tengah,Seruyan,73848,0.6608433224034992,0.2249701162677573,-0.2950355425911395,0.12948790997711737,-0.9560114849162734
Kalimantan Tengah,Sukamara,73856,0.6143747056212776,0.3413212844927224,-0.27603884559852526,0.19084140532331997,-0.888847503595973
